iteration,chain,sigma,Kmat_pred_ksi,mu_pred
143,3,5.04939,133.858,135.185
144,3,4.89518,130.405,135.185
145,3,5.22447,137.84,135.185
146,3,6.44131,128.092,135.185
147,3,5.55989,121.297,135.185
148,3,5.46897,148.411,135.185
149,3,5.2379,134.916,135.185
150,3,5.37871,135.757,135.185
151,3,5.26387,144.14,135.185
152,3,5.38641,133.41,135.185
153,3,6.10681,140.351,135.185
154,3,6.72862,137.799,135.185
155,3,5.8645,131.745,135.185
156,3,5.83943,127.691,135.185
157,3,4.80734,136.124,135.185
158,3,4.91431,139.043,135.185
159,3,4.40097,128.117,135.185
160,3,4.84021,141.117,135.185
161,3,6.0027,141.98,135.185
162,3,6.19453,143.485,135.185
163,3,6.2284,138.788,135.185
164,3,5.46556,141.022,135.185
165,3,5.5188,145.335,135.185
166,3,4.31769,137.764,135.185
167,3,4.88347,137.29,135.185
168,3,5.9693,127.341,135.185
169,3,6.04935,135.308,135.185
170,3,5.16467,133.241,135.185
171,3,5.31634,133.81,135.185
172,3,5.18733,136.207,135.185
173,3,5.80649,128.054,135.185
174,3,5.80974,134.778,135.185
175,3,5.9181,130.38,135.185
176,3,5.81524,116.044,135.185
177,3,5.64478,136.897,135.185
178,3,5.30399,135.644,135.185
179,3,5.33973,138.712,135.185
180,3,5.33973,137.081,135.185
181,3,6.34688,138.511,135.185
182,3,6.1982,140.445,135.185
183,3,8.06683,117.887,135.185
184,3,6.16408,134.059,135.185
185,3,5.35259,142.691,135.185
186,3,5.49899,132.792,135.185
187,3,6.3343,131.9,135.185
188,3,5.45686,139.85,135.185
189,3,5.36076,137.266,135.185
190,3,5.32661,135.059,135.185
191,3,5.52925,138.301,135.185
192,3,6.05667,133.637,135.185
193,3,6.0166,136.251,135.185
194,3,5.35497,131.194,135.185
195,3,5.53313,141.823,135.185
196,3,6.05213,137.108,135.185
197,3,6.05176,139.525,135.185
198,3,7.99984,130.743,135.185
199,3,7.48584,143.169,135.185
200,3,5.75491,137.855,135.185
201,3,5.50583,136.244,135.185
202,3,5.86528,125.519,135.185
203,3,5.81748,123.454,135.185
204,3,6.25719,142.187,135.185
205,3,7.16909,137.681,135.185
206,3,7.237,128.144,135.185
207,3,6.83714,132.954,135.185
208,3,6.74279,138.135,135.185
209,3,4.55116,135.226,135.185
210,3,6.5791,144.407,135.185
211,3,6.80905,125.567,135.185
212,3,4.75373,141.687,135.185
213,3,5.08774,136.574,135.185
214,3,5.11532,130.797,135.185
215,3,4.80104,140.492,135.185
216,3,5.24075,132.8,135.185
217,3,5.54164,130.79,135.185
218,3,5.71335,130.885,135.185
219,3,5.87131,145.394,135.185
220,3,6.10033,150.28,135.185
221,3,6.14403,141.168,135.185
222,3,5.3979,142.127,135.185
223,3,5.26164,137.295,135.185
224,3,6.57481,138.754,135.185
225,3,6.24584,137.515,135.185
226,3,5.75739,132.034,135.185
227,3,6.05429,139.008,135.185
228,3,5.41777,137.081,135.185
229,3,5.49175,131.2,135.185
230,3,4.48292,139.501,135.185
231,3,4.4602,139.937,135.185
232,3,6.3027,136.742,135.185
233,3,6.4023,131.024,135.185
234,3,4.26768,127.87,135.185
235,3,5.97475,128.576,135.185
236,3,5.49366,137.58,135.185
237,3,5.5268,135.436,135.185
238,3,5.971,146.507,135.185
239,3,5.64394,139.58,135.185
240,3,5.6038,137.083,135.185
241,3,5.85892,140.731,135.185
242,3,6.16606,134.86,135.185
243,3,6.21814,127.974,135.185
244,3,6.47169,140.418,135.185
245,3,6.45786,141.804,135.185
246,3,6.76655,135.3,135.185
247,3,7.02074,137.305,135.185
